Validator,PT_VERSION,2.9.1
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100201-5b515cf1bc
Validator,GCN_ARCH_NAME,gfx1100
Validator,ROCBLAS_VERSION,5.2.0.5b515cf1bc
GemmTunableOp_Half_TN,tn_1280_77_2048_ld_2048_2048_1280,Gemm_Rocblas_-1140856751,0.0228053
GemmTunableOp_Half_TN,tn_1920_8192_640_ld_640_640_1920,Gemm_Rocblas_-1140856701,0.290904
GemmTunableOp_Half_TN,tn_1280_2_320_ld_320_320_1280,Gemm_Rocblas_-1140856747,0.00946689
GemmTunableOp_Half_TN,tn_320_2_1280_ld_1280_1280_320,Gemm_Rocblas_-1140856765,0.0137277
GemmTunableOp_Half_TN,tn_640_8192_640_ld_640_640_640,Default,0.110296
GemmTunableOp_Half_TN,tn_640_154_2048_ld_2048_2048_640,Gemm_Rocblas_-1140856764,0.0197117
GemmTunableOp_Half_TN,tn_5120_8192_640_ld_640_640_5120,Gemm_Rocblas_-1140856719,0.844069
GemmTunableOp_Half_TN,tn_640_77_2048_ld_2048_2048_640,Gemm_Rocblas_-1140856755,0.0176708
GemmTunableOp_Half_TN,tn_2560_77_2048_ld_2048_2048_2560,Gemm_Rocblas_-1140856783,0.0306505
GemmTunableOp_Half_TN,tn_1280_2048_1280_ld_1280_1280_1280,Gemm_Rocblas_-1140856774,0.120227
GemmTunableOp_Half_TN,tn_320_1_1280_ld_1280_1280_320,Gemm_Rocblas_-9,0.0105741
GemmTunableOp_Half_TN,tn_1280_1024_1280_ld_1280_1280_1280,Gemm_Rocblas_-1140856744,0.0632154
GemmTunableOp_Half_TN,tn_640_4096_640_ld_640_640_640,Gemm_Rocblas_-1140856702,0.0530625
GemmTunableOp_Half_TN,tn_1280_80_2048_ld_2048_2048_1280,Gemm_Rocblas_-1140856769,0.0217641
GemmTunableOp_Half_TN,tn_1280_1_1280_ld_1280_1280_1280,Gemm_Rocblas_-1140856751,0.0139096
GemmTunableOp_Half_TN,tn_1280_1024_5120_ld_5120_5120_1280,Gemm_Rocblas_-1140856781,0.242538
GemmTunableOp_Half_TN,tn_1280_1_2816_ld_2816_2816_1280,Gemm_Rocblas_-9,0.0210005
GemmTunableOp_Half_TN,tn_1280_2_2816_ld_2816_2816_1280,Gemm_Rocblas_-1140856765,0.0213525
GemmTunableOp_Half_TN,tn_640_1_1280_ld_1280_1280_640,Gemm_Rocblas_-9,0.0123877
GemmTunableOp_Half_TN,tn_640_4096_2560_ld_2560_2560_640,Gemm_Rocblas_-1140856806,0.242794
GemmTunableOp_Half_TN,tn_1920_4096_640_ld_640_640_1920,Gemm_Rocblas_-1140856730,0.141452
GemmTunableOp_Half_TN,tn_2560_80_2048_ld_2048_2048_2560,Gemm_Rocblas_-1140856802,0.0307029
GemmTunableOp_Half_TN,tn_5120_4096_640_ld_640_640_5120,Gemm_Rocblas_-1140856702,0.418957
GemmTunableOp_Half_TN,tn_3840_1024_1280_ld_1280_1280_3840,Gemm_Rocblas_-1140856773,0.166051
GemmTunableOp_Half_TN,tn_1280_2048_5120_ld_5120_5120_1280,Gemm_Rocblas_-1140856806,0.514321
GemmTunableOp_Half_TN,tn_1280_2_1280_ld_1280_1280_1280,Gemm_Rocblas_-1140856770,0.0137713
GemmTunableOp_Half_TN,tn_10240_1024_1280_ld_1280_1280_10240,Gemm_Rocblas_-1140856801,0.456134
GemmTunableOp_Half_TN,tn_640_2_1280_ld_1280_1280_640,Gemm_Rocblas_-1140856747,0.0135617
GemmAndBiasTunableOp_Half_TN,tn_1280_2_2816_ld_2816_2816_1280,Default,0.0532964
GemmAndBiasTunableOp_Half_TN,tn_640_8192_640_ld_640_640_640,Default,0.179658
GemmAndBiasTunableOp_Half_TN,tn_1280_1024_1280_ld_1280_1280_1280,Default,0.108136
GemmAndBiasTunableOp_Half_TN,tn_3072_77_768_ld_768_768_3072,Default,0.0304784
GemmAndBiasTunableOp_Half_TN,tn_1280_1024_5120_ld_5120_5120_1280,Default,0.339681
GemmAndBiasTunableOp_Half_TN,tn_1280_1_1280_ld_1280_1280_1280,Default,0.0342004
GemmAndBiasTunableOp_Half_TN,tn_768_77_3072_ld_3072_3072_768,Default,0.0411017
GemmAndBiasTunableOp_Half_TN,tn_1280_2_320_ld_320_320_1280,Default,0.0219929
GemmAndBiasTunableOp_Half_TN,tn_1280_2_1280_ld_1280_1280_1280,Default,0.034282
GemmAndBiasTunableOp_Half_TN,tn_10240_2048_1280_ld_1280_1280_10240,Default,1.0166
GemmAndBiasTunableOp_Half_TN,tn_320_2_1280_ld_1280_1280_320,Default,0.0163736
GemmAndBiasTunableOp_Half_TN,tn_10240_1024_1280_ld_1280_1280_10240,Default,0.51544
GemmAndBiasTunableOp_Half_TN,tn_640_2_1280_ld_1280_1280_640,Default,0.0169752
GemmAndBiasTunableOp_Half_TN,tn_5120_8192_640_ld_640_640_5120,Default,1.02131
GemmAndBiasTunableOp_Half_TN,tn_512_16384_512_ld_512_512_512,Default,0.20593
GemmAndBiasTunableOp_Half_TN,tn_640_8192_2560_ld_2560_2560_640,Default,0.642342
GemmAndBiasTunableOp_Half_TN,tn_640_1_1280_ld_1280_1280_640,Default,0.0174892
GemmAndBiasTunableOp_Half_TN,tn_1280_2048_5120_ld_5120_5120_1280,Default,0.624949
GemmAndBiasTunableOp_Half_TN,tn_1280_1_2816_ld_2816_2816_1280,Default,0.0536961
GemmAndBiasTunableOp_Half_TN,tn_640_4096_2560_ld_2560_2560_640,Default,0.334044
GemmAndBiasTunableOp_Half_TN,tn_320_1_1280_ld_1280_1280_320,Default,0.0163636
GemmAndBiasTunableOp_Half_TN,tn_1280_2048_1280_ld_1280_1280_1280,Default,0.167418
GemmAndBiasTunableOp_Half_TN,tn_5120_4096_640_ld_640_640_5120,Default,0.520802
GemmAndBiasTunableOp_Half_TN,tn_1280_1_320_ld_320_320_1280,Default,0.0222304
GemmAndBiasTunableOp_Half_TN,tn_768_77_768_ld_768_768_768,Default,0.0212212
GemmAndBiasTunableOp_Half_TN,tn_640_4096_640_ld_640_640_640,Default,0.102425
GemmAndBiasTunableOp_Half_TN,tn_1280_77_5120_ld_5120_5120_1280,Default,0.0441468
GemmAndBiasTunableOp_Half_TN,tn_1280_77_1280_ld_1280_1280_1280,Default,0.0342776
GemmAndBiasTunableOp_Half_TN,tn_5120_77_1280_ld_1280_1280_5120,Default,0.040086
